
Evaluation: Loss: 1.8162671598001792, Accuracy: 0.3512, F1 Score: 0.3128322031042443, Kappa: 0.2791111111111111, ROC AUC: 0.8083886222222223
Evaluation: Loss: 1.8162671598001792, Accuracy: 0.3512, F1 Score: 0.3128322031042443, Kappa: 0.2791111111111111, ROC AUC: 0.8083886222222223
Evaluation: Loss: 1.8162671598001792, Accuracy: 0.3512, F1 Score: 0.3128322031042443, Kappa: 0.2791111111111111, ROC AUC: 0.8083886222222223
Evaluation: Loss: 1.8162671598001792, Accuracy: 0.3512, F1 Score: 0.3128322031042443, Kappa: 0.2791111111111111, ROC AUC: 0.8083886222222223
Evaluation: Loss: 1.8162671598001792, Accuracy: 0.3512, F1 Score: 0.3128322031042443, Kappa: 0.2791111111111111, ROC AUC: 0.8083886222222223
Evaluation: Loss: 1.619306603940531, Accuracy: 0.4198, F1 Score: 0.4090100978643944, Kappa: 0.3553333333333335, ROC AUC: 0.8462589166666667
Evaluation: Loss: 1.619306603940531, Accuracy: 0.4198, F1 Score: 0.4090100978643944, Kappa: 0.3553333333333335, ROC AUC: 0.8462589166666667
Evaluation: Loss: 1.619306603940531, Accuracy: 0.4198, F1 Score: 0.4090100978643944, Kappa: 0.3553333333333335, ROC AUC: 0.8462589166666667
Evaluation: Loss: 1.619306603940531, Accuracy: 0.4198, F1 Score: 0.4090100978643944, Kappa: 0.3553333333333335, ROC AUC: 0.8462589166666667
Evaluation: Loss: 1.619306603940531, Accuracy: 0.4198, F1 Score: 0.4090100978643944, Kappa: 0.3553333333333335, ROC AUC: 0.8462589166666667
Evaluation: Loss: 1.529529732637131, Accuracy: 0.4488, F1 Score: 0.43895151276663913, Kappa: 0.38755555555555565, ROC AUC: 0.8638297555555555
Evaluation: Loss: 1.529529732637131, Accuracy: 0.4488, F1 Score: 0.43895151276663913, Kappa: 0.38755555555555565, ROC AUC: 0.8638297555555555
Evaluation: Loss: 1.529529732637131, Accuracy: 0.4488, F1 Score: 0.43895151276663913, Kappa: 0.38755555555555565, ROC AUC: 0.8638297555555555
Evaluation: Loss: 1.529529732637131, Accuracy: 0.4488, F1 Score: 0.43895151276663913, Kappa: 0.38755555555555565, ROC AUC: 0.8638297555555555
Evaluation: Loss: 1.529529732637131, Accuracy: 0.4488, F1 Score: 0.43895151276663913, Kappa: 0.38755555555555565, ROC AUC: 0.8638297555555555
