Round,Loss,Accuracy,F1_score,Kappa,ROC_auc
1, 1.9871949498264934,  0.2699,  0.21783441666186368,  0.18877777777777782,  0.7611145888888889
2, 1.864531716599632,  0.333,  0.3068184965147184,  0.25888888888888906,  0.7878288333333333
3, 1.8134278938793147,  0.3377,  0.31435616632190666,  0.2641111111111113,  0.8018240444444444
4, 1.7677574683302126,  0.3616,  0.3348617694662409,  0.29066666666666663,  0.8172894388888888
5, 1.7256800084830093,  0.3855,  0.35775943844298197,  0.31722222222222207,  0.8276176388888888
6, 1.6923454577168717,  0.3957,  0.3732367532829052,  0.3285555555555556,  0.8318552222222223
7, 1.6686740584266833,  0.3997,  0.37222416106344536,  0.33299999999999985,  0.8411792888888889
8, 1.6570356554878405,  0.4134,  0.39299258533153864,  0.3482222222222223,  0.8404838888888889
9, 1.6381638834651666,  0.4181,  0.3989569113077026,  0.35344444444444434,  0.8433940944444445
10, 1.6331045341948731,  0.4149,  0.38782215560870353,  0.3498888888888889,  0.8499000222222224
11, 1.6208329741566325,  0.4196,  0.3936455112499484,  0.35511111111111127,  0.8485715
12, 1.5932292237449377,  0.4414,  0.4194448000247242,  0.3793333333333333,  0.8544247444444444
13, 1.5768492461774295,  0.4499,  0.43123380612125073,  0.3887777777777778,  0.8572808666666667
14, 1.5698363685760255,  0.4515,  0.43418615629382895,  0.39055555555555543,  0.8571775611111111
15, 1.5610155152817504,  0.4541,  0.43898064586356256,  0.3934444444444444,  0.8588957833333332
16, 1.5405940476316995,  0.4616,  0.442623282048414,  0.4017777777777777,  0.8634099222222222
17, 1.5311852099415593,  0.4739,  0.4567861907526833,  0.4154444444444446,  0.8659829777777777
18, 1.544828245814997,  0.4622,  0.44509417120165784,  0.4024444444444445,  0.8620321499999999
19, 1.5125286906671982,  0.4711,  0.45516097297199176,  0.41233333333333333,  0.8696513666666668
20, 1.5140948482214833,  0.4724,  0.45265043816986,  0.4137777777777776,  0.8697855055555556
21, 1.5254365590433725,  0.4513,  0.4398800085484881,  0.3903333333333333,  0.8646951111111111
22, 1.5192162506877425,  0.4643,  0.4499302374485474,  0.4047777777777778,  0.8673204055555557
23, 1.5123484191803125,  0.4616,  0.4383853336936884,  0.4017777777777777,  0.8711984444444443
24, 1.496317425474953,  0.4728,  0.45359456160272,  0.4142222222222224,  0.8734708222222223
25, 1.4859549850701523,  0.4682,  0.4518397082896121,  0.4091111111111112,  0.8740934333333332
26, 1.4692565648319622,  0.4848,  0.46281891081801013,  0.42755555555555547,  0.8776543833333333
27, 1.4902738062337564,  0.4597,  0.4456388925501445,  0.3996666666666666,  0.8725519111111112
28, 1.4692187575867381,  0.4741,  0.46135537102208535,  0.4156666666666665,  0.8752739777777776
29, 1.4627492816303485,  0.4808,  0.4706615092516412,  0.4231111111111111,  0.8775704055555555
30, 1.4587019278218571,  0.4738,  0.46138285665775436,  0.41533333333333344,  0.8801860777777778
31, 1.4771478016155597,  0.4658,  0.44739737301689375,  0.4064444444444445,  0.8775694666666667
32, 1.4398999107531465,  0.4904,  0.4751452332251844,  0.43377777777777793,  0.8822081500000001
33, 1.459395702273701,  0.4773,  0.46446206078061525,  0.4192222222222224,  0.8807423222222222
34, 1.4493579552196467,  0.4689,  0.46127891974966423,  0.40988888888888886,  0.8782546444444443
35, 1.443524648587163,  0.4867,  0.4687146253157648,  0.42966666666666653,  0.8838611000000001
36, 1.4532267057095853,  0.4686,  0.45848179944179784,  0.40955555555555545,  0.8793094944444444
37, 1.402279641681586,  0.4909,  0.4830536493484379,  0.43433333333333335,  0.8863742
38, 1.4469966292381287,  0.4785,  0.4671886314391879,  0.4205555555555557,  0.8817430166666667
39, 1.459106629268049,  0.4625,  0.45260008616408126,  0.4027777777777779,  0.879110088888889
40, 1.4575495443785915,  0.4631,  0.452359147551116,  0.40344444444444416,  0.8791736222222223
41, 1.4405309116116727,  0.4679,  0.4616638320245561,  0.4087777777777777,  0.8819266166666667
42, 1.4522191057570826,  0.4724,  0.45599968875865765,  0.4137777777777779,  0.8819672166666667
43, 1.4294017477157397,  0.4731,  0.46389610199445575,  0.41455555555555545,  0.8838915666666665
44, 1.4027434526540983,  0.4852,  0.47674996868523206,  0.42800000000000016,  0.8882598055555555
45, 1.469937898290043,  0.4535,  0.44482206728263096,  0.392777777777778,  0.8784772888888888
46, 1.4119462966918945,  0.4863,  0.4797018987530272,  0.4292222222222223,  0.8849061277777777
47, 1.4505527358466443,  0.4832,  0.46800185202780475,  0.4257777777777778,  0.8875846611111109
48, 1.458346994349751,  0.4729,  0.45654062313790644,  0.41433333333333333,  0.8833198611111112
49, 1.4583515225888821,  0.4733,  0.46147871002893304,  0.4147777777777777,  0.8835344555555557
50, 1.4284350742547276,  0.4836,  0.47194104703255535,  0.4262222222222225,  0.8871045500000001
