Round,Loss,Accuracy,F1_score,Kappa,ROC_auc
1, 2.425432528169772,  0.0636,  0.03675254104658564,  -0.040444444444444505,  0.5910852777777779
2, 2.429419484001379,  0.1641,  0.09223753371340986,  0.07122222222222219,  0.6432170166666668
3, 2.355041816211737,  0.1729,  0.10533700964565125,  0.08099999999999996,  0.6760203666666666
4, 2.292130887317962,  0.1828,  0.11841676640110635,  0.09199999999999997,  0.694625111111111
5, 2.282844003397055,  0.1951,  0.13465253185385412,  0.10566666666666669,  0.7036120833333334
6, 2.2227433047736413,  0.2177,  0.14220881478272382,  0.13077777777777777,  0.7193503055555557
7, 2.1512216024886306,  0.214,  0.15441258061927024,  0.1266666666666667,  0.7331395388888888
8, 2.149563714338187,  0.2256,  0.16809267533756786,  0.13955555555555554,  0.7397030611111111
9, 2.1376451173910316,  0.2267,  0.16997444008644097,  0.14077777777777756,  0.7432405444444444
10, 2.111067622614364,  0.2292,  0.17498844234939298,  0.14355555555555555,  0.7466999999999999
11, 2.1090355475489706,  0.2338,  0.17670973275944682,  0.1486666666666666,  0.7529271444444444
12, 2.08373636064438,  0.2421,  0.17914207145719668,  0.15788888888888908,  0.7604686333333334
13, 2.09182991196934,  0.2487,  0.18075233775336624,  0.16522222222222227,  0.759398311111111
14, 2.0501544665985594,  0.2512,  0.19048136666293874,  0.16800000000000004,  0.7666103722222222
15, 2.0027241086045775,  0.2535,  0.194392626076227,  0.17055555555555568,  0.7692396666666667
16, 2.012356053145168,  0.2579,  0.19601054747943839,  0.1754444444444444,  0.7759819611111111
17, 2.0124937779606342,  0.2539,  0.20024455958244944,  0.17100000000000004,  0.7757270555555555
18, 1.9888319771129863,  0.2528,  0.19705854909280834,  0.1697777777777778,  0.7749532833333334
19, 2.0155025686318884,  0.2607,  0.2037021533140954,  0.17855555555555558,  0.7808264277777778
20, 1.9378907981391151,  0.2686,  0.21696729203928036,  0.18733333333333346,  0.7835517722222222
21, 1.9892652267084334,  0.2618,  0.199578008107975,  0.1797777777777776,  0.7860491666666666
22, 1.9422329534737828,  0.2682,  0.21186157191783356,  0.18688888888888877,  0.7871621277777778
23, 1.9618888434510642,  0.2638,  0.20722129602854356,  0.18200000000000005,  0.7831273722222222
24, 1.9426542661441402,  0.2868,  0.22867553433094914,  0.2075555555555556,  0.7961220444444443
25, 1.9273253233668903,  0.2793,  0.22219150332011767,  0.1992222222222222,  0.7976392277777777
26, 1.9334525380271692,  0.2711,  0.21609803148605958,  0.19011111111111123,  0.7925734388888889
27, 1.9290319723062241,  0.2832,  0.22589208625265167,  0.2035555555555557,  0.8006352666666666
28, 1.889861095446748,  0.3002,  0.2445205806532273,  0.22244444444444444,  0.8065632111111111
29, 1.9149122024877383,  0.2934,  0.2347859654708056,  0.21488888888888902,  0.8040572333333333
30, 1.8998480852419577,  0.2877,  0.24191839971155688,  0.2085555555555556,  0.8026207944444443
31, 1.913404949176045,  0.2847,  0.22842558192808235,  0.20522222222222242,  0.8030680944444445
32, 1.9048862742920654,  0.2917,  0.23874281626711583,  0.21299999999999986,  0.8055699500000001
33, 1.879186531987053,  0.3014,  0.2537368115794817,  0.22377777777777763,  0.8096026055555555
34, 1.8717071968145644,  0.3057,  0.251244932704401,  0.22855555555555573,  0.8122872055555556
35, 1.8878627356629782,  0.2978,  0.2416941896459297,  0.21977777777777807,  0.8118443944444443
36, 1.849167282969807,  0.2991,  0.25353384598700285,  0.22122222222222243,  0.8119873
37, 1.8554188218741372,  0.3013,  0.2523067510452796,  0.223666666666667,  0.8130084777777778
38, 1.8618801481807574,  0.3042,  0.2540295688621772,  0.22688888888888925,  0.8142737499999999
39, 1.8426674326387837,  0.3044,  0.260699043803067,  0.22711111111111126,  0.8136280944444445
40, 1.8455360270917607,  0.3136,  0.2692361286703549,  0.2373333333333335,  0.8173196722222222
41, 1.8730305974095012,  0.3031,  0.25204655277930843,  0.22566666666666635,  0.8142526222222223
42, 1.8500417718491233,  0.3011,  0.2549309144505913,  0.22344444444444433,  0.8137031111111112
43, 1.8263544251743598,  0.3039,  0.2641302821402588,  0.2265555555555555,  0.815864561111111
44, 1.8272028887233795,  0.3122,  0.2683828104010913,  0.23577777777777809,  0.8188936611111112
45, 1.8297766191890825,  0.3181,  0.2740040879526279,  0.2423333333333335,  0.8205461555555557
46, 1.8356587349797209,  0.31,  0.2612850040763786,  0.23333333333333306,  0.8192924500000001
47, 1.8295009791279753,  0.3185,  0.27211178848348144,  0.24277777777777798,  0.8209224222222222
48, 1.8144924770148037,  0.3164,  0.27236881769487475,  0.24044444444444413,  0.8244352722222222
49, 1.8431979334011626,  0.3256,  0.27351253772656786,  0.2506666666666667,  0.8263933944444446
50, 1.7965438156463087,  0.326,  0.2828055691529398,  0.25111111111111095,  0.8253962666666667
