Round,Loss,Accuracy,F1_score,Kappa,ROC_auc
1, 1.8365850619995556,  0.3513,  0.31782155271417595,  0.2792222222222225,  0.8047510944444444
2, 1.6490759430601956,  0.4046,  0.3920075315726877,  0.33844444444444455,  0.8412178611111111
3, 1.5587653420603693,  0.4335,  0.4211374992581701,  0.3705555555555553,  0.8578686888888891
4, 1.5013363605109267,  0.4572,  0.4482106474875819,  0.39688888888888874,  0.86773695
5, 1.452430442880137,  0.4779,  0.4716676215401449,  0.41988888888888876,  0.8759487666666667
6, 1.4204020606824004,  0.4864,  0.4798021486330145,  0.42933333333333357,  0.8820660444444444
7, 1.3929321922052402,  0.5004,  0.4965383638492294,  0.4448888888888888,  0.8866398055555555
8, 1.3548652209793797,  0.5144,  0.5085592856796308,  0.46044444444444443,  0.8917782055555555
9, 1.3296437320617822,  0.5207,  0.5134063517916142,  0.46744444444444455,  0.8957935055555556
10, 1.3058678583976941,  0.5336,  0.5279151554961203,  0.48177777777777775,  0.8993569555555554
11, 1.2791384469967682,  0.5427,  0.5366138767430437,  0.49188888888888904,  0.9030604722222224
12, 1.259407969328542,  0.5498,  0.54326750824995,  0.49977777777777765,  0.9060517222222222
13, 1.2317523525926632,  0.5594,  0.5555056272898611,  0.5104444444444445,  0.9096936666666666
14, 1.2137522813611137,  0.5668,  0.5654824477425893,  0.5186666666666666,  0.9124522222222222
15, 1.1929525780601624,  0.5771,  0.574135823786383,  0.530111111111111,  0.9151274888888888
16, 1.1749545638553631,  0.5819,  0.5764410634228363,  0.5354444444444446,  0.9179082722222223
17, 1.1595091966394417,  0.5877,  0.5797557896912638,  0.5418888888888889,  0.9200885277777779
18, 1.1388230849378786,  0.5972,  0.5931213067422447,  0.5524444444444446,  0.9225157777777777
19, 1.1307652061358808,  0.5927,  0.5910182515861546,  0.5474444444444444,  0.9244004222222223
20, 1.1139032486528635,  0.6046,  0.6006324579768518,  0.5606666666666666,  0.9264976222222222
21, 1.1153671893829735,  0.606,  0.6033444680433637,  0.5622222222222223,  0.9273318000000002
22, 1.0814412620882639,  0.6199,  0.6191303516508606,  0.5776666666666667,  0.9299496777777776
23, 1.0725204148612464,  0.6211,  0.6198294206022525,  0.579,  0.9314401833333333
24, 1.056323004987674,  0.6279,  0.624297897811279,  0.5865555555555555,  0.933028588888889
25, 1.0444101995934312,  0.6333,  0.6303036342756505,  0.5925555555555554,  0.9342141444444444
26, 1.0364284077391457,  0.6374,  0.634515938015916,  0.5971111111111111,  0.9354967111111112
27, 1.0326011321796016,  0.6384,  0.6332072220027366,  0.5982222222222223,  0.9362965277777778
28, 1.0154776729333896,  0.643,  0.6410379876784876,  0.6033333333333335,  0.9380377944444446
29, 1.0062845179828972,  0.6474,  0.6456471751497468,  0.6082222222222222,  0.9391083722222223
30, 0.9979611539993042,  0.6522,  0.648921114678098,  0.6135555555555556,  0.9400121833333334
31, 0.9915070649914848,  0.6528,  0.6494637467031071,  0.6142222222222222,  0.9408257777777778
32, 0.9835743591808283,  0.6587,  0.6566306973512794,  0.6207777777777778,  0.9416552833333333
33, 0.9712369472454911,  0.6605,  0.6583390724997253,  0.6227777777777779,  0.9429361166666667
34, 0.9640904529787861,  0.6634,  0.6602789414666823,  0.626,  0.9437113222222221
35, 0.9557119760269555,  0.6674,  0.6660652274454643,  0.6304444444444446,  0.9446576222222222
36, 0.9528960472288223,  0.6686,  0.665562339029985,  0.6317777777777778,  0.9451478888888889
37, 0.9488654668910054,  0.6727,  0.6724830000566735,  0.6363333333333332,  0.9457075111111111
38, 0.9407193618841445,  0.6733,  0.6691575615145515,  0.637,  0.9465241666666667
39, 0.9314563904707425,  0.6758,  0.6736354539276356,  0.6397777777777778,  0.9473768888888889
40, 0.9242749500769777,  0.6822,  0.6784396114837102,  0.6468888888888888,  0.94812805
41, 0.9213393735238158,  0.6836,  0.6832569947446501,  0.6484444444444444,  0.9484328222222222
42, 0.9189833195064776,  0.6833,  0.6822390983243033,  0.6481111111111111,  0.9487357444444445
43, 0.9057700407390777,  0.6888,  0.6873877820962099,  0.6542222222222223,  0.9498932166666666
44, 0.9073333420311681,  0.6886,  0.6874382153667018,  0.6539999999999999,  0.9500612333333335
45, 0.9005721292366236,  0.6921,  0.6887448105777062,  0.6578888888888887,  0.9505227000000002
46, 0.8975408826582729,  0.6905,  0.6900582895857033,  0.6561111111111111,  0.9510674444444444
47, 0.8928954251848471,  0.6911,  0.6896899742331435,  0.6567777777777777,  0.9516495833333334
48, 0.8932801346999769,  0.6914,  0.69203816225591,  0.657111111111111,  0.9517160888888888
49, 0.883208620281646,  0.6986,  0.6966616984647134,  0.6651111111111112,  0.9525839722222222
50, 0.8821114448312753,  0.6965,  0.696238063133907,  0.6627777777777778,  0.9527888499999999
